"","Years.of.Driving.Experience","Number.of.Vehicles","Gender.Dummy","Married.Dummy","Vehicle.Age","Fuel.Type.Dummy","Losses","Cluster"
"163",31,1,1,0,0,1,515,3
"164",0,1,0,0,12,1,541,3
"165",45,1,0,0,4,0,35,1
"166",42,1,0,1,10,0,93,4
"167",5,1,1,1,14,1,655,3
"168",27,1,1,1,3,1,771,3
"169",36,1,1,1,7,1,555,3
"170",2,1,1,0,12,0,289,2
"171",8,1,0,0,15,0,320,2
"172",42,1,0,1,8,0,380,4
"173",17,1,1,1,10,0,403,4
"174",46,1,1,1,7,0,217,4
"175",22,1,0,1,13,0,275,4
"176",46,1,1,1,1,1,796,3
"177",43,1,1,1,6,0,56,4
"178",28,1,0,1,5,1,713,3
"179",10,1,1,0,12,0,141,2
"180",44,1,1,1,14,0,291,4
"181",39,1,1,0,1,0,203,1
"182",22,1,1,0,4,1,517,3
"183",26,1,0,0,12,0,202,2
"184",24,1,0,1,10,0,428,4
"185",6,1,0,1,11,1,516,3
"186",42,1,0,0,14,0,257,1
"187",15,1,0,0,2,0,376,1
"188",6,1,1,1,12,1,1070,3
"189",28,1,1,0,13,0,371,1
"190",3,1,0,1,14,0,266,2
"191",31,1,0,0,10,0,312,1
"192",4,1,0,1,15,0,430,2
"193",39,1,1,1,0,1,818,3
"194",17,1,0,0,13,0,320,2
"195",0,1,0,0,13,0,183,2
"196",3,1,0,1,14,1,565,3
"197",43,1,0,0,6,0,110,1
"198",44,1,0,1,4,0,466,4
"199",45,1,1,1,11,0,173,4
"200",5,1,1,0,12,0,361,2
"201",3,1,0,0,1,1,837,3
"202",5,1,0,0,11,0,129,2
"203",0,1,0,1,9,0,485,2
"204",9,1,1,0,2,0,488,1
"205",5,1,1,0,0,1,990,3
"206",39,1,0,1,10,0,166,4
"207",2,1,0,0,11,0,167,2
"208",25,1,1,0,0,1,693,3
"209",4,1,1,0,14,1,513,3
"210",27,1,1,0,5,1,629,3
"211",23,1,1,1,6,0,438,4
"212",44,1,1,1,10,0,244,4
"213",6,1,1,0,6,0,479,2
"214",21,1,1,0,9,0,321,1
"215",0,1,1,0,7,0,328,2
"216",42,1,1,0,10,0,387,1
"217",4,1,1,0,15,0,235,2
"218",13,1,0,0,2,0,396,1
"219",47,1,1,1,14,0,66,4
"220",42,1,1,1,7,0,296,4
"221",11,1,0,0,14,0,159,2
"222",0,1,1,0,12,0,477,2
"223",11,1,0,1,0,1,509,3
"224",0,1,0,0,15,0,352,2
"225",34,1,0,0,2,1,523,3
"226",31,1,1,0,10,0,314,1
"227",9,1,1,1,13,0,201,2
"228",0,1,0,0,15,0,303,2
"229",5,1,0,1,6,1,788,3
"230",49,1,0,0,14,0,100,1
"231",0,1,0,0,15,0,250,2
"232",7,1,0,0,1,0,489,2
"233",28,1,1,0,1,1,562,3
"234",1,1,0,1,12,0,415,2
"235",2,1,0,1,9,1,778,3
"236",8,1,0,1,7,0,356,4
"237",28,1,1,0,13,0,357,1
"238",52,1,0,1,7,0,328,4
"239",33,1,0,0,6,0,301,1
"240",2,1,1,0,3,1,770,3
"241",23,1,1,0,0,1,689,3
"242",44,1,0,0,8,0,151,1
"243",13,1,0,1,1,1,696,3
"244",30,1,1,0,12,0,237,1
"245",0,1,0,0,15,0,310,2
"246",46,1,1,1,9,0,411,4
"247",22,1,0,1,2,1,629,3
"248",27,1,1,0,10,0,393,1
"249",35,1,0,0,5,1,572,3
"250",2,1,0,0,14,0,282,2
"251",12,1,1,1,10,0,455,4
"252",38,1,0,1,4,0,478,4
"253",36,1,1,1,14,0,193,4
"254",8,1,1,0,14,0,410,2
"255",34,1,1,1,12,1,509,3
"256",20,1,1,1,8,0,424,4
"257",28,1,0,1,13,0,344,4
"258",21,1,1,0,11,0,182,1
"259",8,1,0,0,15,0,161,2
"260",27,1,1,0,10,0,356,1
"261",8,1,0,0,15,0,329,2
"262",24,1,1,0,9,0,325,1
"263",46,1,0,1,7,0,455,4
"264",14,1,1,1,2,1,762,3
"265",44,1,0,1,14,0,290,4
"266",16,1,0,1,1,0,459,4
"267",20,1,0,0,14,0,259,2
"268",3,1,1,1,15,1,587,3
"269",50,1,1,0,0,0,159,1
"270",9,1,0,1,11,0,148,2
"271",34,1,0,0,8,0,309,1
"272",51,1,0,1,5,0,255,4
"273",20,1,1,1,7,1,517,3
"274",45,1,1,1,0,0,105,4
"275",44,1,0,0,4,0,40,1
"276",50,1,1,0,2,0,302,1
"277",9,1,0,0,6,0,311,2
"278",5,1,1,0,11,0,336,2
"279",6,1,0,0,15,0,198,2
"280",50,1,0,0,5,0,82,1
"281",28,1,0,1,8,0,408,4
"282",41,1,1,1,11,0,36,4
"283",53,1,1,1,12,0,320,4
"284",32,1,0,1,0,1,590,3
"285",31,1,0,1,0,1,526,3
"286",13,1,1,1,5,1,939,3
"287",7,1,1,0,12,1,554,3
"288",5,1,1,1,15,0,311,2
"289",15,1,0,1,4,1,878,3
"290",3,1,0,1,14,0,157,2
"291",1,1,0,1,12,1,520,3
"292",53,1,0,1,8,0,103,4
"293",4,1,1,0,12,1,547,3
"294",44,1,1,1,6,0,330,4
"295",2,1,1,0,14,1,655,3
"296",4,1,1,0,12,0,480,2
"297",0,1,0,0,6,1,517,3
"298",49,1,0,1,0,0,72,4
"299",44,1,1,1,3,0,131,4
"300",30,1,0,1,0,1,648,3
"301",17,1,1,0,12,0,341,2
"302",0,1,1,0,14,1,512,3
"303",4,1,1,0,15,0,252,2
"304",6,1,0,0,15,0,188,2
"305",44,1,0,1,0,0,154,4
"306",42,1,1,0,5,0,94,1
"307",32,1,1,0,13,0,208,1
"308",10,1,1,0,0,0,397,1
"309",4,1,0,0,7,0,296,2
"310",46,1,1,0,2,0,76,1
"311",27,1,0,0,3,0,449,1
"312",41,1,0,0,15,0,131,1
"313",16,1,1,0,11,0,147,2
"314",0,1,0,1,11,1,640,3
"315",5,1,1,0,9,0,420,2
"316",7,1,0,0,15,0,396,2
"317",0,1,1,0,10,0,478,2
"318",9,1,0,0,8,0,293,2
"319",29,1,0,0,5,1,528,3
"320",0,1,0,0,11,0,247,2
"321",49,1,1,0,0,0,169,1
"322",9,1,1,1,9,0,440,4
"323",9,1,0,0,6,0,290,2
"324",7,1,1,1,14,1,682,3
"325",48,1,0,0,0,0,162,1
"326",28,1,0,1,15,0,238,4
"327",19,1,1,1,2,1,726,3
"328",31,1,1,1,4,1,729,3
"329",32,1,1,1,7,0,445,4
"330",23,1,0,1,9,0,427,4
"331",33,1,1,0,13,0,265,1
"332",2,1,1,0,11,0,317,2
"333",1,1,0,0,11,0,356,2
"334",49,1,1,1,2,1,639,3
"335",40,1,1,0,13,0,152,1
"336",15,1,1,0,0,1,599,3
"337",0,1,0,0,8,0,382,2
"338",2,1,1,0,6,0,340,2
"339",45,1,0,0,6,0,97,1
"340",17,1,1,0,12,0,168,2
"341",0,1,0,1,15,1,622,3
"342",14,1,0,0,12,0,197,2
"343",8,1,1,1,7,0,490,4
"344",4,1,1,0,13,0,308,2
"345",31,1,0,1,4,1,581,3
"346",14,1,0,0,8,0,325,2
"347",15,1,1,0,1,1,547,3
"348",40,1,0,1,7,0,379,4
"349",41,1,0,0,7,0,123,1
"350",49,1,1,0,1,0,402,1
"351",40,1,1,0,10,0,39,1
"352",5,1,1,0,15,1,605,3
"353",21,1,1,1,8,0,352,4
"354",32,1,0,1,14,0,323,4
"355",7,1,1,0,14,0,180,2
"356",46,1,0,0,7,0,300,1
"357",6,1,1,0,11,1,584,3
"358",38,1,0,1,6,0,484,4
"359",8,1,1,0,9,0,425,2
"360",43,1,0,0,13,0,41,1
"361",42,1,0,1,9,0,127,4
"362",31,1,1,0,7,0,332,1
"363",35,1,1,0,9,0,382,1
"364",15,1,1,0,14,0,202,2
"365",0,1,1,0,8,0,449,2
"366",0,1,0,0,13,0,479,2
"367",46,1,1,0,8,0,207,1
"368",51,1,1,1,6,0,48,4
"369",0,1,1,0,15,0,333,2
"370",12,1,1,1,2,1,801,3
"371",1,1,0,0,14,0,182,2
"372",46,1,0,0,6,0,208,1
"373",49,1,0,0,14,0,45,1
"374",30,1,0,1,7,0,390,4
"375",4,1,1,0,8,0,456,2
"376",40,1,1,1,2,1,780,3
"377",0,1,1,1,13,1,853,3
"378",43,1,1,0,3,0,298,1
"379",23,1,0,1,4,1,517,3
"380",6,1,0,1,14,0,227,2
"381",34,1,1,0,9,0,396,1
"382",3,1,0,1,14,0,238,2
"383",5,1,1,0,7,1,624,3
"384",39,1,0,1,10,0,188,4
"385",2,1,1,0,0,1,544,3
"386",0,1,1,1,13,0,326,2
"387",6,1,0,0,12,0,183,2
"388",47,1,0,1,12,0,156,4
"389",13,1,0,1,5,1,503,3
"390",25,1,1,1,14,0,263,4
"391",19,1,1,0,10,0,324,1
"392",12,1,0,0,9,0,312,2
"393",38,1,0,1,12,0,206,4
"394",39,1,0,1,11,0,368,4
"395",48,1,0,0,14,0,166,1
"396",5,1,1,0,14,0,452,2
"397",38,1,1,0,6,0,355,1
"398",17,1,1,0,9,0,375,1
"399",0,1,1,1,7,1,842,3
"400",4,1,1,1,11,1,566,3
"401",42,1,1,0,12,0,342,1
"402",29,1,0,1,10,0,407,4
"403",6,1,0,1,12,1,559,3
"404",0,1,1,0,12,1,547,3
"405",21,1,1,1,15,0,170,4
"406",4,1,1,0,4,1,1066,3
"407",8,1,0,0,14,0,251,2
"408",36,1,0,0,14,0,189,1
"409",3,1,0,1,14,1,567,3
"410",0,1,0,0,0,0,345,2
"411",11,1,1,0,11,0,315,2
"412",2,1,0,1,13,1,656,3
"413",22,1,0,0,0,0,462,1
"414",26,1,0,1,7,0,378,4
"415",0,1,1,1,9,1,685,3
"416",2,1,0,0,11,0,144,2
"417",16,1,0,1,10,0,402,4
"418",46,1,0,1,3,0,253,4
"419",20,1,1,0,15,0,144,2
"420",0,1,0,1,11,0,227,2
"421",4,1,1,0,6,1,644,3
"422",0,1,1,0,6,0,325,2
"423",0,1,1,0,11,0,168,2
"424",2,1,0,0,12,0,164,2
"425",35,1,0,1,13,0,287,4
"426",5,1,0,0,7,0,279,2
"427",0,1,1,0,13,1,546,3
"428",34,1,1,1,14,0,258,4
"429",10,1,1,0,14,0,269,2
"430",1,1,0,0,12,0,387,2
"431",8,1,0,1,3,1,667,3
"432",12,1,0,1,12,0,364,2
"433",28,1,1,0,15,0,124,1
"434",5,1,1,1,15,1,727,3
"435",1,1,0,0,15,0,257,2
"436",50,1,1,0,7,0,97,1
"437",0,1,0,0,12,0,229,2
"438",49,1,0,0,6,0,118,1
"439",53,1,1,1,10,0,264,4
"440",11,1,1,1,4,1,836,3
"441",51,1,1,1,3,0,309,4
"442",9,1,1,0,15,0,184,2
"443",45,1,1,0,12,0,138,1
"444",8,1,0,1,12,1,672,3
"445",38,1,0,1,14,0,191,4
"446",6,1,0,0,9,0,446,2
"447",38,1,0,0,2,1,587,3
"448",0,1,1,0,12,0,201,2
"449",4,1,0,1,10,0,484,2
"450",31,1,1,0,10,0,361,1
"451",5,1,1,0,13,0,269,2
"452",26,1,0,1,10,0,383,4
"453",29,1,0,1,6,0,418,4
"454",45,1,1,0,14,0,124,1
"455",0,1,1,1,15,1,673,3
"456",33,1,0,0,10,0,293,1
"457",23,1,1,0,10,0,364,1
"458",0,1,1,1,12,1,703,3
"459",1,1,1,0,13,1,510,3
"460",47,1,0,1,8,0,42,4
"461",0,1,1,0,12,0,260,2
"462",21,1,0,1,9,0,386,4
"463",28,1,0,0,10,0,335,1
"464",25,1,1,1,15,0,275,4
"465",8,1,0,0,12,0,216,2
"466",14,1,1,1,8,0,405,4
"467",27,1,1,1,1,1,685,3
"468",20,1,0,1,15,0,151,4
"469",0,1,0,1,5,1,673,3
"470",9,1,0,0,14,0,219,2
"471",14,1,0,1,13,0,281,2
"472",40,1,0,0,1,0,146,1
"473",8,1,0,1,1,1,809,3
"474",0,1,1,1,11,1,1024,3
"475",34,1,0,1,9,0,476,4
"476",3,1,1,0,13,0,412,2
"477",53,1,1,0,0,0,157,1
"478",27,1,0,0,15,0,284,2
"479",19,1,0,0,1,0,361,1
"480",48,1,1,0,7,0,239,1
"481",0,1,0,1,12,0,235,2
"482",16,1,1,1,9,1,523,3
"483",23,1,0,0,7,0,292,1
"484",6,1,0,0,9,0,225,2
"485",12,1,0,0,0,0,420,1
"486",5,1,0,1,6,0,396,4
"487",7,1,1,1,14,1,648,3
"488",0,1,1,1,12,0,390,2
"489",32,1,1,1,13,0,236,4
"490",30,1,1,1,15,0,156,4
"491",4,1,0,1,10,1,772,3
"492",3,1,1,1,12,1,739,3
"493",48,1,0,1,3,0,476,4
"494",47,1,0,1,6,0,47,4
"495",12,1,0,0,8,0,309,2
"496",7,1,0,1,8,1,615,3
"497",18,1,1,0,11,0,281,2
"498",0,1,0,1,0,1,659,3
"499",22,1,0,0,8,0,313,1
"500",24,1,0,0,7,0,338,1
"501",22,1,0,1,14,0,272,4
"502",0,1,1,0,14,0,443,2
"503",20,1,0,0,14,0,136,2
"504",9,1,1,0,2,1,669,3
"505",45,1,1,0,9,0,37,1
"506",4,1,1,0,14,1,695,3
"507",45,1,0,0,1,0,318,1
"508",47,1,1,1,8,0,230,4
"509",7,1,1,1,9,1,984,3
"510",11,1,1,1,0,1,676,3
"511",47,1,0,1,11,0,111,4
"512",5,1,0,1,14,0,447,2
"513",51,1,1,1,4,0,229,4
"514",5,1,0,0,14,0,442,2
"515",1,1,0,1,10,1,698,3
"516",48,1,1,1,7,0,236,4
"517",2,1,0,0,15,0,294,2
"518",51,1,1,0,2,0,345,1
"519",21,1,0,1,0,1,837,3
"520",25,1,0,1,11,0,340,4
"521",44,1,0,1,9,0,292,4
"522",25,1,1,0,7,0,399,1
"523",0,1,1,1,13,1,810,3
"524",38,1,1,0,6,0,356,1
"525",17,1,0,1,11,0,376,4
"526",52,1,1,0,15,0,163,1
"527",5,1,0,0,7,0,391,2
"528",7,1,0,0,6,0,284,2
"529",7,1,1,0,9,0,346,2
"530",15,1,0,1,10,0,402,4
"531",7,1,1,0,1,1,777,3
"532",35,1,1,0,1,1,645,3
"533",6,1,0,1,13,0,386,2
"534",33,1,1,0,9,0,321,1
"535",35,1,1,1,7,0,436,4
"536",11,1,0,0,9,0,303,2
"537",32,1,0,0,4,1,557,3
"538",0,1,0,1,4,1,1037,3
"539",1,1,0,1,12,0,302,2
"540",52,1,1,1,15,0,117,4
"541",0,1,1,1,13,1,964,3
"542",42,1,1,1,13,0,96,4
"543",11,1,0,0,5,0,419,2
"544",43,1,0,1,1,0,342,4
"545",42,1,0,0,13,0,102,1
"546",46,1,0,1,15,0,41,4
"547",35,1,0,0,8,0,307,1
"548",27,1,0,1,0,1,687,3
"549",50,1,1,1,10,0,167,4
"550",47,1,1,0,4,1,551,3
"551",5,1,1,1,14,1,587,3
"552",6,1,0,0,12,0,339,2
"553",20,1,1,0,0,1,648,3
"554",50,1,1,0,14,0,95,1
"555",2,1,1,1,13,0,494,2
"556",2,1,1,1,7,1,1021,3
"557",1,1,1,0,9,0,471,2
"558",15,1,0,1,6,0,403,4
"559",33,1,1,1,10,0,422,4
"560",6,1,0,0,14,0,127,2
"561",0,1,1,0,4,1,1204,3
"562",39,1,1,0,11,0,276,1
"563",26,1,0,0,0,1,518,3
"564",47,1,0,1,9,0,43,4
"565",2,1,1,1,13,1,931,3
"566",3,1,1,1,11,1,946,3
"567",25,1,0,1,7,0,364,4
"568",15,1,0,1,6,0,420,4
"569",49,1,0,1,9,0,79,4
"570",4,1,0,1,12,0,421,2
"571",46,1,1,0,4,0,390,1
"572",26,1,1,1,8,0,462,4
"573",30,1,1,0,15,0,147,1
"574",0,1,1,1,10,1,1032,3
"575",22,1,0,0,10,0,373,2
"576",4,1,1,1,12,1,874,3
"577",7,1,1,1,0,1,1492,3
"578",52,1,0,1,7,0,140,4
"579",41,1,1,0,9,0,159,1
"580",3,1,1,1,14,1,731,3
"581",4,1,0,1,15,0,470,2
"582",48,1,1,1,6,0,234,4
"583",17,1,0,1,1,1,545,3
"584",41,1,0,0,8,0,286,1
"585",10,1,0,0,11,0,269,2
"586",28,1,1,0,10,0,359,1
"587",44,1,1,0,14,0,32,1
"588",17,1,0,1,6,0,425,4
"589",4,1,0,1,11,0,222,2
"590",16,1,0,1,12,0,230,4
"591",44,1,1,1,8,0,184,4
"592",42,1,1,1,12,0,496,4
"593",43,1,0,0,6,0,58,1
"594",30,1,0,1,8,0,421,4
"595",15,1,0,0,7,0,368,2
"596",23,1,1,0,9,0,404,1
"597",45,1,1,0,12,0,102,1
"598",52,1,0,1,3,0,321,4
"599",33,1,1,0,15,0,204,1
"600",6,1,0,0,5,0,482,2
"601",0,1,1,0,6,0,333,2
"602",2,1,0,1,11,0,293,2
"603",50,1,1,1,8,0,219,4
"604",9,1,0,1,7,0,430,4
"605",0,1,1,1,15,1,960,3
"606",36,1,0,1,2,1,862,3
"607",5,1,0,1,11,1,523,3
"608",32,1,0,0,7,0,302,1
"609",42,1,0,1,8,0,241,4
"610",52,1,1,1,9,0,152,4
"611",8,1,1,1,8,0,436,4
"612",22,1,0,0,1,0,381,1
"613",47,1,1,1,3,0,74,4
"614",33,1,1,0,11,0,159,1
"615",8,1,0,1,2,1,603,3
"616",6,1,0,0,1,0,497,2
"617",41,1,0,1,7,0,392,4
"618",2,1,0,1,15,0,244,2
"619",0,1,0,0,14,0,273,2
"620",44,1,1,1,4,0,317,4
"621",21,1,0,0,15,0,186,2
"622",48,1,0,1,4,0,106,4
"623",47,1,1,1,7,0,237,4
"624",42,1,0,1,9,0,34,4
"625",37,1,1,0,10,0,346,1
"626",3,1,1,1,7,1,1360,3
"627",48,1,0,0,14,0,148,1
"628",34,1,0,0,4,0,477,1
"629",13,1,1,0,13,0,307,2
"630",8,1,0,1,12,1,602,3
"631",41,1,0,1,5,0,464,4
"632",41,1,0,0,12,0,118,1
"633",45,1,0,0,14,0,27,1
"634",1,1,1,0,6,1,512,3
"635",52,1,0,0,12,0,109,1
"636",3,1,1,1,14,1,651,3
"637",39,1,1,1,1,1,531,3
"638",48,1,0,0,13,0,189,1
"639",6,1,1,1,11,1,558,3
"640",4,1,1,1,13,0,335,2
"641",45,1,0,1,11,0,37,4
"642",10,1,0,1,6,0,363,4
"643",30,1,0,0,0,1,540,3
"644",0,1,1,0,12,0,358,2
"645",25,1,1,1,13,0,331,4
"646",7,1,1,0,8,0,335,2
"647",44,1,1,1,0,0,262,4
"648",15,1,1,1,1,1,735,3
"649",46,1,1,0,1,0,406,1
"650",44,1,1,1,9,0,352,4
"651",50,1,1,1,10,0,297,4
"652",43,1,0,1,6,0,125,4
"653",11,1,0,0,7,0,375,2
"654",5,1,0,1,11,1,534,3
"655",29,1,0,1,10,0,358,4
"656",1,1,0,1,13,0,236,2
"657",8,1,1,1,6,0,481,4
"658",1,1,1,1,1,1,1570,3
"659",52,1,1,0,8,0,190,1
"660",6,1,1,1,14,1,802,3
"661",24,1,1,1,10,0,476,4
"662",7,1,0,1,5,1,865,3
"663",49,1,0,0,7,0,33,1
"664",0,1,0,0,13,0,259,2
"665",2,1,0,1,12,0,476,2
"666",34,1,0,0,9,0,289,1
"667",29,1,0,0,10,0,342,1
"668",25,1,0,0,4,0,440,1
"669",48,1,1,1,6,0,330,4
"670",0,1,1,1,13,1,845,3
"671",42,1,0,1,1,0,474,4
"672",32,1,1,1,7,0,397,4
"673",4,1,1,0,9,1,771,3
"674",35,1,1,0,8,0,346,1
"675",47,1,1,1,15,0,45,4
"676",30,1,1,0,10,0,308,1
"677",43,1,1,0,3,0,118,1
"678",34,1,1,0,9,0,417,1
"679",43,1,0,1,12,0,25,4
"680",3,1,0,1,9,1,716,3
"681",35,1,1,1,1,1,679,3
"682",46,1,0,1,15,0,233,4
"683",11,1,1,1,10,0,483,4
"684",36,1,1,0,12,0,193,1
"685",1,1,0,0,12,0,179,2
"686",50,1,0,0,3,0,407,1
"687",1,1,1,0,15,0,395,2
"688",50,1,1,1,7,0,399,4
"689",3,1,1,0,13,0,171,2
"690",7,1,1,1,12,1,1265,3
"691",1,1,0,1,14,1,554,3
"692",43,1,0,0,11,0,88,1
"693",0,1,0,0,15,0,300,2
"694",37,1,1,1,13,0,401,4
"695",39,1,1,0,2,0,65,1
"696",48,1,0,1,11,0,17,4
"697",15,1,1,1,2,1,708,3
"698",46,1,0,1,10,0,341,4
"699",48,1,1,0,2,0,277,1
"700",1,1,1,1,13,1,527,3
"701",21,1,0,0,12,0,206,2
"702",2,1,1,0,2,1,892,3
"703",49,1,1,1,3,0,414,4
"704",2,1,1,0,12,0,207,2
"705",27,1,0,0,0,0,341,1
"706",8,1,0,0,8,0,416,2
"707",48,1,0,0,11,0,71,1
"708",6,1,0,0,8,0,280,2
"709",27,1,0,1,8,0,373,4
"710",24,1,0,1,9,0,398,4
"711",7,1,0,0,1,0,458,2
"712",27,1,0,0,8,0,299,1
"713",36,1,0,0,8,0,300,1
"714",27,1,1,1,7,0,472,4
"715",28,1,0,0,3,1,528,3
"716",43,1,0,1,6,0,300,4
"717",24,1,0,0,7,0,292,1
"718",29,1,0,1,5,0,438,4
"719",40,1,0,0,0,1,555,3
"720",23,1,0,0,0,1,525,3
"721",34,1,0,0,1,1,503,3
"722",35,1,1,0,15,0,231,1
"723",21,1,0,1,10,0,404,4
"724",25,1,0,0,7,0,295,1
"725",42,1,1,0,2,1,556,3
"726",53,1,0,1,14,0,153,4
"727",1,1,1,1,13,0,463,2
